Disease,Yoga Pose,Image Path,Pressure Points,Steps
Kidney Stones,Uttanpadasana (Raised Leg Pose),images/Uttanpadasana.jpeg,lower back and abdomen,"1. Lie on back. 2. Inhale, raise legs to 45°. 3. Hold and breathe. 4. Exhale, lower slowly."
Liver Disorder,Ardha Matsyendrasana,images/Ardha Matsyendrasana.jpeg,foot and abdomen,"1. Sit with legs stretched. 2. Bend right leg, place over left. 3. Twist torso right. 4. Hold and repeat."
Menstrual Pain,Baddha Konasana (Butterfly Pose),images/Baddha Konasana.jpeg,leg and lower abdomen,"1. Sit, soles of feet together. 2. Hold feet, move knees up-down. 3. Lean forward gently."
Menopause,Setu Bandhasana (Bridge Pose),images/Setu Bandhasana.png,leg and ankle,"1. Lie on back, bend knees. 2. Feet flat, arms by side. 3. Lift hips. 4. Hold and release."
Neck Pain,Marjaryasana-Bitilasana (Cat-Cow),images/Marjaryasana-Bitilasana.jpeg,neck,"1. Start on hands and knees. 2. Inhale, arch back (Cow). 3. Exhale, round back (Cat). 4. Repeat."
Obesity,Utkatasana (Chair Pose),images/Utkatasana.jpeg,abdomen and leg,"1. Stand, raise arms. 2. Bend knees like sitting. 3. Hold and breathe. 4. Release slowly."
PCOD,Bhujangasana (Cobra Pose),images/Bhujangasana.jpg,abdomen and leg,"1. Lie on stomach. 2. Hands under shoulders. 3. Inhale, lift chest. 4. Hold and exhale."
Piles,Malasana (Garland Pose),images/Malasana.jpeg,abdomen and calf,1. Squat with feet flat. 2. Join palms at chest. 3. Press elbows to knees. 4. Breathe deeply.
Weight Loss,Surya Namaskar (Sun Salutation),images/Surya Namaskar.jpeg,Upper Lip,1. Perform 12 poses in sequence with breath control. 2. Repeat for 5–10 rounds.
High Cholesterol,Ardha Halasana (Half Plow Pose),images/Ardha Halasana.jpeg,Liver point (right foot arch),1. Lie on back. 2. Raise legs to 90°. 3. Hold and breathe deeply.
Sciatica,Supta Padangusthasana (Reclining Hand-to-Big-Toe Pose),images/Supta Padangusthasana.jpeg,near buttocks,1. Lie down. 2. Raise leg and hold big toe with hand.
Sinusitis,Adho Mukha Svanasana (Downward Dog),images/Adho Mukha Svanasana.jpeg,beside nose nostrils,"1. Hands and feet on floor, hips up to form ‘V’ shape."
Dark Circle,Trataka (Candle Gazing),images/Trataka.jpeg,Inner edge of the eyebrow,1. Sit in dark room. 2. Gaze at candle flame without blinking. 3. Focus for 5–10 mins.
Jawline,Jivha Bandha,images/Jivha Bandha.jpeg,halfway between the corner of the mouth and the bottom of the earlobe,"1. Sit comfortably with your spine straight and eyes closed. 2. Press your tongue firmly against the roof of your mouth, reaching as far back as possible. 3. Slightly lift your chin to feel a stretch in your jaw and neck area. 4. Breathe slowly and deeply through your nose while holding the tongue lock. 5. Hold for 10–30 seconds, then release and relax the tongue. Repeat 3–5 times."
Muscle Pain,Trikonasana (Triangle Pose),images/Trikonasana.jpg,In the hollow between the outer anklebone and the Achilles tendon.,"1. Stand with legs apart. 2. Extend arms, bend sideways. 3. Touch ankle with one hand, other arm up. 4. Hold and repeat on other side."
Kidney Disorders,Ardha Matsyendrasana,images/Ardha Matsyendrasana.jpeg,no any,"1. Sit with legs stretched. 2. Bend right leg, place over left. 3. Twist torso right. 4. Hold and repeat."
Finger Pain,Hasthamudras,images/Hasthamudras.jpg,Hasthamudras,1. Sit in a comfortable meditation posture. 2. Touch the tip of the index finger to the tip of the thumb. 3. Keep the other three fingers straight. 4. Rest hands on knees with palms facing upward.
Headache,Balasana,images/Balasana.jpg,Between the thumb and index finger.,"1. Kneel down, sit on heels. 2. Bend forward, forehead to floor. 3. Extend arms forward or by side."
